Link;Estado
http://diariooficial.palmas.to.gov.br/media/diario/2544-31-7-2020-20-18-9.pdf;TO
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/2168.pdf;TO
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=8062&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/1422.pdf;TO
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20190312_be4ee7db98c802de35ab0c58b725010e.pdf;RN
https://doweb.rio.rj.gov.br/portal/edicoes/download/682;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3191;RJ
http://dom.pmt.pi.gov.br/admin/upload/DOM2300-13062018-ASSINADO.pdf;PI
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=4884&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://dom.pmt.pi.gov.br/admin/upload/DOM2496-04042019-ASSINADO.pdf;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/2910;RJ
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20190110_c22a1ca1a785d1394940a328393fd8f9.pdf;RN
http://dom.pmt.pi.gov.br/admin/upload/DOM2653-21112019-ASSINADO.pdf;PI
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2012/01/2011_1302.pdf;PB
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2014/maio/dom-6099-22-05-2014.pdf;BA
http://dom.pmt.pi.gov.br/admin/upload/DOM2656-26112019-ASSINADO.pdf;PI
http://dom.pmt.pi.gov.br/admin/upload/DOM2673-19122019-ASSINADO.pdf;PI
http://dom.pmt.pi.gov.br/admin/upload/DOM1237-1-05092008.pdf;PI
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/1527.pdf;TO
http://dom.manaus.am.gov.br/pdf/2019/outubro/DOM%204707%2022.10.2019%20CAD%201.pdf;AM
http://dom.manaus.am.gov.br/pdf/2007/novembro/dom20071849cad1.pdf;AM
http://diariooficial.palmas.to.gov.br/media/diario/2673-9-2-2021-20-17-33.pdf;TO
http://www.pmf.sc.gov.br/arquivos/diario/pdf/29_06_2018_17.55.09.d2e337b68e2e7409094954c1153687c2.pdf;SC
https://doweb.rio.rj.gov.br/portal/edicoes/download/868;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2008/novembro/dom-4773-06-11-2008.pdf;BA
http://diariooficial.palmas.to.gov.br/media/diario/877-31-10-2013.pdf;TO
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2007/do_20070823_000004189.pdf;GO
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20200522_e76670dcea11f8265ac4f6d5a939f5ef.pdf;RN
;
